,Id_recorrido,nombre_estacion_origen,hora_origen
130,17400753BAEcobici,164 - FACULTAD DE INGENIERIA,23
131,17453762BAEcobici,132 - CORRIENTES,13
132,17436851BAEcobici,138 - Hospital Britanico,7
133,17600903BAEcobici,018 - Independencia,18
134,17615183BAEcobici,158 - VILLARROEL,19
135,17685418BAEcobici,009 - Parque Las Heras,0
136,17426131BAEcobici,044 - Ecoparque,9
137,17658942BAEcobici,035 - INGENIERO BUTTY,21
138,17676793BAEcobici,137 - AZOPARDO Y CHILE,11
139,17684196BAEcobici,014 - Pacifico,21
140,17502189BAEcobici,050 - Hospital Rivadavia,16
141,17445355BAEcobici,099 - Malabia,18
142,17539720BAEcobici,032 - Catedral,18
143,17594218BAEcobici,003 - ADUANA,9
144,17653721BAEcobici,164 - FACULTAD DE INGENIERIA,15
145,17509896BAEcobici,014 - Pacifico,8
146,17445676BAEcobici,316 - Buenos Aires,19
147,17415101BAEcobici,220 - PLAZA FELIX LIMA,13
148,17542123BAEcobici,041 - PARQUE PATRICIOS II,20
149,17677163BAEcobici,100 - Plaza Gurruchaga,12
150,17695846BAEcobici,190 - JUNCAL,19
151,17475157BAEcobici,122 - COSTA RICA,1
152,17523363BAEcobici,153 - JUAN MANUEL DE BLANES,10
153,17679063BAEcobici,199 - ESTADOS UNIDOS Y BOEDO,15
154,17496250BAEcobici,128 - PARQUE DEL BAJO,5
155,17420334BAEcobici,290 - Club Excursionistas,16
156,17553123BAEcobici,315 - BEIRO Y SAN MARTÍN,18
157,17507827BAEcobici,325 - MEDRANO,0
158,17481122BAEcobici,146 - Hospital Francés,15
159,17681702BAEcobici,156 - Plaza Alemania,18
160,17520317BAEcobici,243 - PLAZOLETA CELEDONIO FLORES,1
161,17679323BAEcobici,073 - Ruy Díaz de Guzmán,15
162,17656495BAEcobici,167 - Hipólito Yrigoyen,18
163,17422353BAEcobici,136 - Acevedo,21
164,17570901BAEcobici,354 - José Martí,13
165,17644044BAEcobici,137 - AZOPARDO Y CHILE,19
166,17647583BAEcobici,192 - HOSPITAL SIRIO,6
167,17518554BAEcobici,069 - Ecuador,21
168,17404992BAEcobici,066 - Billinghurst,11
169,17574087BAEcobici,199 - ESTADOS UNIDOS Y BOEDO,17
170,17594444BAEcobici,164 - FACULTAD DE INGENIERIA,9
171,17445014BAEcobici,111 - MACACHA GUEMES,18
172,17514172BAEcobici,281 - Villa Urquiza,15
173,17445370BAEcobici,086 - SAAVEDRA,18
174,17460505BAEcobici,014 - Pacifico,21
175,17574617BAEcobici,360 - Plaza Ramon Falcon,18
176,17599101BAEcobici,008 - Congreso,16
177,17601341BAEcobici,275 - PLAZA 24 DE SEPTIEMBRE,18
178,17469345BAEcobici,243 - PLAZOLETA CELEDONIO FLORES,17
179,17464599BAEcobici,027 - Montevideo,9
180,17436315BAEcobici,161 - Humahuaca,5
181,17512661BAEcobici,186 - MANZANA 66,13
182,17597292BAEcobici,069 - Ecuador,14
183,17523552BAEcobici,137 - AZOPARDO Y CHILE,10
184,17389020BAEcobici,101 - Fitz Roy,0
185,17469868BAEcobici,258 - Plaza J.J. Paso,17
186,17422546BAEcobici,194 - PERÓN Y ACUÑA DE FIGUEROA,22
187,17512777BAEcobici,182 - RAVIGNANI Y GUATEMALA,13
188,17691478BAEcobici,038 - Plaza Libertad,14
189,17625740BAEcobici,083 - Paraná,17
190,17481972BAEcobici,118 - MEXICO,17
191,17631896BAEcobici,156 - Plaza Alemania,19
192,17609365BAEcobici,199 - ESTADOS UNIDOS Y BOEDO,12
193,17471597BAEcobici,344 - UNIVERSIDAD DI TELLA,19
194,17552157BAEcobici,166 - Cementerio de Recoleta,17
195,17499801BAEcobici,373 - Jorgelina De Simone,12
196,17538434BAEcobici,128 - PARQUE DEL BAJO,16
197,17494801BAEcobici,171 - Pasteur,21
198,17648958BAEcobici,215 - HOSPITAL ALVAREZ,8
199,17560866BAEcobici,120 - HOSPITAL RAMOS MEJIA,20
200,17437103BAEcobici,303 - Huaura,7
201,17425605BAEcobici,341 - COMUNA 4,9
202,17682967BAEcobici,359 - PLAZA BALCARCE,19
203,17694329BAEcobici,260 - SAN MIGUEL DE GARICOITS,17
204,17453851BAEcobici,041 - PARQUE PATRICIOS II,13
205,17538796BAEcobici,237 - Madero Office,17
206,17515757BAEcobici,205 - SAN MARTIN,17
207,17445902BAEcobici,381 - Matienzo Y Arce,19
208,17559069BAEcobici,017 - Plaza Almagro,15
209,17471742BAEcobici,204 - Biarritz,19
210,17428091BAEcobici,280 - JURAMENTO,13
211,17447458BAEcobici,174 - MINISTERIO DE EDUCACION,21
212,17405991BAEcobici,191 - Rivadavia y 9 de Julio,12
213,17564562BAEcobici,107 - HOSPITAL GARRAHAN,17
214,17627525BAEcobici,017 - Plaza Almagro,23
215,17429441BAEcobici,147 - Constitución,16
216,17474169BAEcobici,181 - BILLINGHURST Y MANSILLA,23
217,17510613BAEcobici,089 - Cabello,9
218,17464926BAEcobici,124 - UGARTECHE,9
219,17393321BAEcobici,391 - Plaza República de Ecuador,11
220,17589744BAEcobici,010 - Madero UCA,20
221,17646606BAEcobici,172 - BRASIL,0
222,17584611BAEcobici,006 - Parque Lezama,14
223,17658207BAEcobici,261 - QUINTEROS LIDORO,20
224,17532356BAEcobici,089 - Cabello,6
225,17508092BAEcobici,174 - MINISTERIO DE EDUCACION,2
226,17553750BAEcobici,025 - Plaza Guemes,19
227,17572573BAEcobici,111 - MACACHA GUEMES,16
228,17667677BAEcobici,023 - Suipacha,15
229,17460508BAEcobici,117 - HUMBERTO 1°,21
230,17672584BAEcobici,056 - Plaza Palermo Viejo,0
231,17640854BAEcobici,146 - Hospital Francés,16
232,17551311BAEcobici,086 - SAAVEDRA,16
233,17674483BAEcobici,262 - Holmberg,8
234,17545755BAEcobici,183 - VIRREY CEVALLOS,7
235,17524783BAEcobici,091 - Pasco,13
236,17675855BAEcobici,023 - Suipacha,10
237,17686387BAEcobici,029 - Parque Centenario,6
238,17677432BAEcobici,008 - Congreso,12
239,17602198BAEcobici,015 - AMENABAR,19
240,17643068BAEcobici,070 - ARAOZ,18
241,17692994BAEcobici,065 - Julián Álvarez,16
242,17578183BAEcobici,360 - Plaza Ramon Falcon,23
243,17665297BAEcobici,289 - MONTAÑESES,12
244,17624854BAEcobici,384 - PLAZA BENITO NAZAR,15
245,17509879BAEcobici,205 - SAN MARTIN,8
246,17398271BAEcobici,075 - Plaza Primero de Mayo,19
247,17696173BAEcobici,002 - Retiro I,19
248,17684562BAEcobici,280 - JURAMENTO,21
249,17466342BAEcobici,083 - Paraná,12
250,17684337BAEcobici,018 - Independencia,21
251,17435881BAEcobici,124 - UGARTECHE,1
252,17586962BAEcobici,010 - Madero UCA,17
253,17638804BAEcobici,150 - RODRIGO BUENO,14
254,17554642BAEcobici,183 - VIRREY CEVALLOS,20
255,17445305BAEcobici,396 - PLAZA ALBERTI,18
256,17488338BAEcobici,014 - Pacifico,12
257,17489784BAEcobici,030 - Peña,18
258,17499466BAEcobici,223 - GAINZA,11
259,17591989BAEcobici,030 - Peña,2
260,17462662BAEcobici,275 - PLAZA 24 DE SEPTIEMBRE,6
261,17439146BAEcobici,156 - Plaza Alemania,10
262,17409025BAEcobici,140 - Las Casas,17
263,17652682BAEcobici,104 - Federico Lacroze,14
264,17494521BAEcobici,255 - BARRANCAS DE BELGRANO,20
265,17596795BAEcobici,093 - CARLOS CALVO,13
266,17487294BAEcobici,183 - VIRREY CEVALLOS,6
267,17416641BAEcobici,056 - Plaza Palermo Viejo,20
268,17662495BAEcobici,030 - Peña,8
269,17669160BAEcobici,316 - Buenos Aires,17
270,17511321BAEcobici,045 - Uruguay,10
271,17510495BAEcobici,083 - Paraná,9
272,17432288BAEcobici,005 - Plaza Italia,18
273,17479482BAEcobici,091 - Pasco,12
274,17382220BAEcobici,288 - SECRETARÍA DE DEPORTES,14
275,17648965BAEcobici,120 - HOSPITAL RAMOS MEJIA,8
276,17618003BAEcobici,156 - Plaza Alemania,5
277,17690809BAEcobici,255 - BARRANCAS DE BELGRANO,13
278,17546919BAEcobici,259 - PLAZA CASTELLI,9
279,17592986BAEcobici,396 - PLAZA ALBERTI,7
280,17461512BAEcobici,006 - Parque Lezama,0
281,17516528BAEcobici,114 - DELLA PAOLERA,18
282,17667412BAEcobici,007 - OBELISCO,15
283,17624976BAEcobici,276 - PRIMERA JUNTA,15
284,17658134BAEcobici,111 - MACACHA GUEMES,19
285,17426781BAEcobici,174 - MINISTERIO DE EDUCACION,11
286,17675414BAEcobici,172 - BRASIL,9
287,17424825BAEcobici,063 - Reconquista,8
288,17458543BAEcobici,200 - AUSTRIA Y FRENCH,19
289,17400624BAEcobici,060 - 25 De Mayo,23
290,17553197BAEcobici,065 - Julián Álvarez,18
291,17655446BAEcobici,160 - Godoy Cruz y Libertador,17
292,17533813BAEcobici,093 - CARLOS CALVO,8
293,17522258BAEcobici,260 - SAN MIGUEL DE GARICOITS,8
294,17376403BAEcobici,165 - PLAZA MONSEÑOR MIGUEL DE ANDREA,1
295,17582966BAEcobici,009 - Parque Las Heras,12
296,17411781BAEcobici,065 - Julián Álvarez,21
297,17675939BAEcobici,082 - HOSPITAL ITALIANO,10
298,17606871BAEcobici,187 - Jose Maria Moreno,8
299,17527511BAEcobici,327 - PLAZA RICCHERI,17
300,17442869BAEcobici,151 - AIME PAINÉ,16
301,17609092BAEcobici,347 - CARABOBO,12
302,17632902BAEcobici,113 - Guatemala,0
303,17547645BAEcobici,148 -La Paternal,10
304,17620391BAEcobici,239 - AVENIDA CRAMER,15
305,17468814BAEcobici,258 - Plaza J.J. Paso,16
306,17553667BAEcobici,169 - FACULTAD DE PSICOLOGIA,19
307,17517593BAEcobici,039 - Plaza Don Bosco,19
308,17415709BAEcobici,181 - BILLINGHURST Y MANSILLA,16
309,17410437BAEcobici,117 - HUMBERTO 1°,19
310,17511593BAEcobici,075 - Plaza Primero de Mayo,11
311,17484738BAEcobici,023 - Suipacha,20
312,17669586BAEcobici,076 - Ayacucho,17
313,17454170BAEcobici,063 - Reconquista,13
314,17473392BAEcobici,171 - Pasteur,21
315,17622347BAEcobici,391 - Plaza República de Ecuador,21
316,17515869BAEcobici,194 - PERÓN Y ACUÑA DE FIGUEROA,17
317,17621895BAEcobici,261 - QUINTEROS LIDORO,19
318,17381327BAEcobici,251 - Solar de la Abadía,13
319,17686535BAEcobici,370 - Beauchef,6
320,17673836BAEcobici,186 - MANZANA 66,7
321,17542896BAEcobici,069 - Ecuador,21
322,17604258BAEcobici,292 - PLAZA BOLIVIA,23
323,17398759BAEcobici,041 - PARQUE PATRICIOS II,19
324,17660745BAEcobici,085 - AGUERO,1
325,17691338BAEcobici,022 - Arenales,14
326,17529789BAEcobici,036 - MAIPÚ,20
327,17611344BAEcobici,086 - SAAVEDRA,15
328,17552804BAEcobici,135 - MARCELO T. DE ALVEAR,18
329,17679626BAEcobici,165 - PLAZA MONSEÑOR MIGUEL DE ANDREA,16
330,17469450BAEcobici,038 - Plaza Libertad,17
331,17563721BAEcobici,177 -PLANETARIO,14
332,17405728BAEcobici,159 - Fitz Roy & Gorriti,12
333,17621901BAEcobici,160 - Godoy Cruz y Libertador,19
334,17536734BAEcobici,152 - JULIETA LANTERI,14
335,17601344BAEcobici,136 - Acevedo,18
336,17475007BAEcobici,065 - Julián Álvarez,0
337,17530049BAEcobici,325 - MEDRANO,20
338,17565206BAEcobici,066 - Billinghurst,19
339,17616943BAEcobici,289 - MONTAÑESES,23
340,17551574BAEcobici,071 - CERRITO,16
341,17691426BAEcobici,147 - Constitución,14
342,17656407BAEcobici,255 - BARRANCAS DE BELGRANO,18
343,17432199BAEcobici,128 - PARQUE DEL BAJO,18
344,17590472BAEcobici,346 - Plaza Zapiola,21
345,17496557BAEcobici,187 - Jose Maria Moreno,6
346,17380854BAEcobici,182 - RAVIGNANI Y GUATEMALA,12
347,17558828BAEcobici,130 - RETIRO II,14
348,17389638BAEcobici,219 - Parque Chacabuco II,3
349,17571262BAEcobici,026 - JUANA MANSO I,14
350,17402434BAEcobici,171 - Pasteur,7
351,17468339BAEcobici,103 - MALBA,15
352,17381661BAEcobici,215 - HOSPITAL ALVAREZ,13
353,17696623BAEcobici,227 -Club Ciudad de Buenos Aires,20
354,17456871BAEcobici,073 - Ruy Díaz de Guzmán,17
355,17634522BAEcobici,364 - CERRETTI Y MANUELA PEDRAZA,7
356,17664876BAEcobici,391 - Plaza República de Ecuador,11
357,17510724BAEcobici,024 - ALSINA,9
358,17693579BAEcobici,156 - Plaza Alemania,17
359,17666632BAEcobici,371 - Paseo de las Americas,14
360,17462605BAEcobici,051 - TUCUMAN,6
361,17581172BAEcobici,079 - AZUCENA VILLAFLOR,9
362,17684025BAEcobici,013 - ONCE,20
363,17473008BAEcobici,140 - Las Casas,20
364,17695553BAEcobici,144 - PUEYRREDÓN,19
365,17657114BAEcobici,111 - MACACHA GUEMES,18
366,17648525BAEcobici,018 - Independencia,8
367,17524657BAEcobici,073 - Ruy Díaz de Guzmán,12
368,17609351BAEcobici,029 - Parque Centenario,12
369,17517404BAEcobici,168 - Estados Unidos,19
370,17491575BAEcobici,032 - Catedral,3
371,17398289BAEcobici,333 - PARQUE DE LA ESTACIÓN,19
372,17521824BAEcobici,017 - Plaza Almagro,8
373,17408346BAEcobici,248 - Husares,16
374,17578988BAEcobici,085 - AGUERO,5
375,17518891BAEcobici,314 - ALLENDE,21
376,17493717BAEcobici,164 - FACULTAD DE INGENIERIA,17
377,17535930BAEcobici,281 - Villa Urquiza,12
378,17408659BAEcobici,152 - JULIETA LANTERI,17
379,17397975BAEcobici,010 - Madero UCA,18
380,17614844BAEcobici,129 - Velasco,19
381,17440390BAEcobici,066 - Billinghurst,12
382,17532167BAEcobici,001 - FACULTAD DE DERECHO,5
383,17591279BAEcobici,383 - BOEDO Y VENEZUELA,23
384,17579503BAEcobici,181 - BILLINGHURST Y MANSILLA,7
385,17626376BAEcobici,181 - BILLINGHURST Y MANSILLA,18
386,17471411BAEcobici,264 - Plaza Marcos Sastre,18
387,17640988BAEcobici,393 - Barrio 31,17
388,17529099BAEcobici,350 - Plaza Irlanda,19
389,17573230BAEcobici,061 - Ministerio de Economia,16
390,17541086BAEcobici,063 - Reconquista,19
391,17675783BAEcobici,233 - MONROE,10
392,17390277BAEcobici,302 - ESTACION VILLA LURO,6
393,17396837BAEcobici,014 - Pacifico,17
394,17616856BAEcobici,122 - COSTA RICA,23
395,17455882BAEcobici,186 - MANZANA 66,16
396,17405732BAEcobici,085 - AGUERO,12
397,17422372BAEcobici,285 - ESPINOSA,21
398,17695865BAEcobici,156 - Plaza Alemania,19
399,17378448BAEcobici,232 - Sucre y Martinez,8
400,17521328BAEcobici,367 - Eva Perón,7
401,17458337BAEcobici,146 - Hospital Francés,18
402,17640543BAEcobici,137 - AZOPARDO Y CHILE,16
403,17565045BAEcobici,079 - AZUCENA VILLAFLOR,18
404,17453478BAEcobici,015 - AMENABAR,12
405,17534569BAEcobici,279 - PLAZA MONTE CASTRO,10
406,17530065BAEcobici,247 - PLAZA LUCIO DEMARE,20
407,17695135BAEcobici,188 - Aranguren,18
408,17423719BAEcobici,144 - PUEYRREDÓN,5
409,17417486BAEcobici,067 - PARQUE SARMIENTO I,0
410,17669679BAEcobici,153 - JUAN MANUEL DE BLANES,18
411,17568475BAEcobici,061 - Ministerio de Economia,9
412,17660661BAEcobici,065 - Julián Álvarez,1
413,17503764BAEcobici,013 - ONCE,18
414,17675279BAEcobici,136 - Acevedo,9
415,17378558BAEcobici,015 - AMENABAR,8
416,17596215BAEcobici,151 - AIME PAINÉ,12
417,17619695BAEcobici,030 - Peña,13
418,17685241BAEcobici,166 - Cementerio de Recoleta,23
419,17411737BAEcobici,086 - SAAVEDRA,21
420,17445507BAEcobici,190 - JUNCAL,18
421,17690404BAEcobici,353 - PLAZA VÉLEZ SARSFIELD,13
422,17635933BAEcobici,371 - Paseo de las Americas,9
423,17523267BAEcobici,066 - Billinghurst,10
424,17598688BAEcobici,378 - AGRONOMIA,16
425,17527611BAEcobici,004 - Plaza Roma,17
426,17386515BAEcobici,350 - Plaza Irlanda,19
427,17481261BAEcobici,174 - MINISTERIO DE EDUCACION,16
428,17516711BAEcobici,147 - Constitución,18
429,17485032BAEcobici,181 - BILLINGHURST Y MANSILLA,20
430,17453119BAEcobici,015 - AMENABAR,11
431,17454199BAEcobici,014 - Pacifico,13
432,17566331BAEcobici,379 - PARQUE SARMIENTO II,0
433,17621387BAEcobici,125 - F.J.Santamaria de Oro,18
434,17609808BAEcobici,008 - Congreso,13
435,17565680BAEcobici,227 -Club Ciudad de Buenos Aires,20
436,17599333BAEcobici,187 - Jose Maria Moreno,16
437,17521411BAEcobici,147 - Constitución,7
438,17571010BAEcobici,016 - Legislatura,13
439,17642157BAEcobici,079 - AZUCENA VILLAFLOR,17
440,17662461BAEcobici,169 - FACULTAD DE PSICOLOGIA,8
441,17501593BAEcobici,118 - MEXICO,15
442,17406910BAEcobici,264 - Plaza Marcos Sastre,14
443,17518798BAEcobici,272 - Plaza Bruno Giordano,21
444,17376203BAEcobici,112 - 9 de Julio,1
445,17460182BAEcobici,173 - EL LIBERTADOR,21
446,17390149BAEcobici,056 - Plaza Palermo Viejo,6
447,17667112BAEcobici,215 - HOSPITAL ALVAREZ,15
448,17543871BAEcobici,194 - PERÓN Y ACUÑA DE FIGUEROA,0
449,17389700BAEcobici,158 - VILLARROEL,3
450,17421618BAEcobici,178 - José Marmol,19
451,17505171BAEcobici,166 - Cementerio de Recoleta,19
452,17478780BAEcobici,035 - INGENIERO BUTTY,11
453,17535053BAEcobici,113 - Guatemala,11
454,17593279BAEcobici,131- HOSPITAL DE CLÍNICAS,8
455,17604922BAEcobici,066 - Billinghurst,1
456,17493578BAEcobici,197 - PLAZA CIUDAD DE UDINE,17
457,17468112BAEcobici,128 - PARQUE DEL BAJO,15
458,17413468BAEcobici,054 - Acuña de Figueroa,4
459,17647867BAEcobici,297 - TRONADOR Y GARCÍA DEL RÍO,7
460,17413523BAEcobici,234 - AVENIDA TRIUNVIRATO,5
461,17505226BAEcobici,255 - BARRANCAS DE BELGRANO,19
462,17615787BAEcobici,156 - Plaza Alemania,20
463,17534152BAEcobici,100 - Plaza Gurruchaga,9
464,17686766BAEcobici,147 - Constitución,7
465,17582051BAEcobici,183 - VIRREY CEVALLOS,10
466,17509962BAEcobici,022 - Arenales,8
467,17483627BAEcobici,367 - Eva Perón,18
468,17612312BAEcobici,200 - AUSTRIA Y FRENCH,16
469,17637396BAEcobici,149 - LIMA,12
470,17573691BAEcobici,100 - Plaza Gurruchaga,17
471,17528032BAEcobici,070 - ARAOZ,18
472,17465544BAEcobici,074 - INSTITUTO LELOIR,11
473,17402950BAEcobici,188 - Aranguren,7
474,17593036BAEcobici,174 - MINISTERIO DE EDUCACION,7
475,17477695BAEcobici,365 - Venancio Flores,9
476,17481542BAEcobici,030 - Peña,16
477,17475600BAEcobici,396 - PLAZA ALBERTI,3
478,17425220BAEcobici,032 - Catedral,8
479,17539943BAEcobici,288 - SECRETARÍA DE DEPORTES,18
480,17383627BAEcobici,186 - MANZANA 66,16
481,17544974BAEcobici,167 - Hipólito Yrigoyen,5
482,17387169BAEcobici,067 - PARQUE SARMIENTO I,20
483,17525609BAEcobici,086 - SAAVEDRA,15
484,17598988BAEcobici,251 - Solar de la Abadía,16
485,17512232BAEcobici,091 - Pasco,12
486,17426778BAEcobici,128 - PARQUE DEL BAJO,11
487,17530538BAEcobici,227 -Club Ciudad de Buenos Aires,21
488,17663630BAEcobici,128 - PARQUE DEL BAJO,9
489,17616934BAEcobici,199 - ESTADOS UNIDOS Y BOEDO,23
490,17635457BAEcobici,348 - Villa del Parque,8
491,17543244BAEcobici,166 - Cementerio de Recoleta,22
492,17466909BAEcobici,147 - Constitución,13
493,17679709BAEcobici,316 - Buenos Aires,16
494,17557325BAEcobici,023 - Suipacha,8
495,17653763BAEcobici,128 - PARQUE DEL BAJO,15
496,17695348BAEcobici,336 - La Pampa,18
497,17435716BAEcobici,200 - AUSTRIA Y FRENCH,0
498,17499662BAEcobici,038 - Plaza Libertad,12
499,17511786BAEcobici,058 - Ministro Carranza,11
500,17660735BAEcobici,079 - AZUCENA VILLAFLOR,1
501,17610054BAEcobici,256 - PLAZA NORUEGA,13
502,17495519BAEcobici,381 - Matienzo Y Arce,0
503,17651771BAEcobici,131- HOSPITAL DE CLÍNICAS,13
